ev,het,datum,sz1,sz2,sz3,sz4,sz5
2021,47,2021.11.27.,42,48,53,57,64
2021,46,2021.11.20.,13,22,27,32,35
2021,45,2021.11.13.,25,52,72,76,90
2021,44,2021.11.06.,4,29,65,69,79
2021,43,2021.10.30.,6,12,54,64,74
2021,42,2021.10.23.,5,14,24,34,79
2021,41,2021.10.16.,22,49,64,73,86
2021,40,2021.10.09.,6,15,30,65,72
2021,39,2021.10.02.,17,25,30,31,48
2021,38,2021.09.25.,9,20,64,70,76
2021,37,2021.09.18.,51,54,57,74,89
2021,36,2021.09.11.,15,36,50,55,65
2021,35,2021.09.04.,16,32,49,73,77
2021,34,2021.08.28.,3,13,30,32,38
2021,33,2021.08.21.,28,43,45,47,62
2021,32,2021.08.14.,7,51,55,59,86
2021,31,2021.08.07.,10,37,42,56,74
2021,30,2021.07.31.,16,37,38,41,69
2021,29,2021.07.24.,29,63,71,75,77
2021,28,2021.07.17.,27,34,38,51,62
2021,27,2021.07.10.,1,11,37,49,75
2021,26,2021.07.03.,1,16,29,30,58
2021,25,2021.06.26.,5,27,41,49,63
2021,24,2021.06.19.,49,70,75,78,79
2021,23,2021.06.12.,5,13,16,81,87
2021,22,2021.06.05.,9,32,47,72,81
2021,21,2021.05.29.,21,49,50,58,84
2021,20,2021.05.22.,8,21,57,77,80
2021,19,2021.05.15.,26,33,44,73,85
2021,18,2021.05.08.,3,28,62,76,90
2021,17,2021.05.01.,10,39,65,70,90
2021,16,2021.04.24.,13,17,34,50,61
2021,15,2021.04.17.,40,42,45,50,86
2021,14,2021.04.10.,3,20,36,41,55
2021,13,2021.04.03.,6,32,39,44,76
2021,12,2021.03.27.,29,34,69,86,89
2021,11,2021.03.20.,15,32,73,78,83
2021,10,2021.03.13.,1,36,51,59,62
2021,9,2021.03.06.,3,9,26,39,86
2021,8,2021.02.27.,32,45,51,73,75
2021,7,2021.02.20.,5,50,53,55,56
2021,6,2021.02.13.,26,45,48,78,79
2021,5,2021.02.06.,11,24,30,45,66
2021,4,2021.01.30.,3,9,19,41,55
2021,3,2021.01.23.,22,34,52,63,85
2021,2,2021.01.16.,19,23,45,57,78
2021,1,2021.01.09.,19,32,34,37,39
2020,53,2021.01.02.,7,45,65,86,88
2020,52,2020.12.26.,11,14,22,48,85
2020,51,2020.12.19.,2,19,27,29,86
2020,50,2020.12.12.,7,37,39,67,72
2020,49,2020.12.05.,4,7,28,58,77
2020,48,2020.11.28.,38,43,48,64,75
2020,47,2020.11.21.,15,32,42,54,75
2020,46,2020.11.14.,8,13,30,61,68
2020,45,2020.11.07.,15,37,65,68,73
2020,44,2020.10.31.,3,62,71,77,78
2020,43,2020.10.24.,1,12,54,55,67
2020,42,2020.10.17.,4,15,48,64,88
2020,41,2020.10.10.,3,12,27,38,47
2020,40,2020.10.03.,20,36,54,72,76
2020,39,2020.09.26.,8,23,72,80,90
2020,38,2020.09.19.,5,24,28,34,58
2020,37,2020.09.12.,2,24,61,75,85
2020,36,2020.09.05.,11,15,16,27,60
2020,35,2020.08.29.,34,50,55,63,66
2020,34,2020.08.22.,8,25,72,80,90
2020,33,2020.08.15.,12,13,28,45,49
2020,32,2020.08.08.,17,18,55,59,67
2020,31,2020.08.01.,13,42,51,82,89
2020,30,2020.07.25.,1,16,58,76,87
2020,29,2020.07.18.,12,32,48,75,88
2020,28,2020.07.11.,19,21,26,37,88
2020,27,2020.07.04.,16,53,66,68,69
2020,26,2020.06.27.,2,14,15,43,65
2020,25,2020.06.20.,5,8,12,16,68
2020,24,2020.06.13.,5,18,31,44,80
2020,23,2020.06.06.,18,31,56,68,83
2020,22,2020.05.30.,32,36,55,64,68
2020,21,2020.05.23.,2,23,29,62,87
2020,20,2020.05.16.,30,54,55,81,89
2020,19,2020.05.09.,30,57,58,61,86
2020,18,2020.05.02.,8,47,50,87,89
2020,17,2020.04.25.,34,45,66,84,87
2020,16,2020.04.18.,1,25,64,71,83
2020,15,2020.04.11.,35,45,50,62,65
2020,14,2020.04.04.,31,57,66,80,83
2020,13,2020.03.28.,20,33,39,50,64
2020,12,2020.03.21.,40,48,59,60,64
2020,11,2020.03.14.,12,20,30,41,77
2020,10,2020.03.07.,37,52,54,81,89
2020,9,2020.02.29.,13,15,17,23,37
2020,8,2020.02.22.,16,31,58,75,77
